id,slot_value,personality,ground_truth,FVN without Control,FVN
10,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . yeah , right it is a pub with a mediocre rating , also it is rather moderately priced , also it 's a fast food restaurant in city centre and kid friendly near nearVariable , okay ?","let 's see what we can find on nameVariable . right , it is a pub with a mediocre rating , also it is somewhat moderately priced , in city centre , friendly near nearVariable and a fast food restaurant , alright ?","let 's see , nameVariable ... oh , it is a a mediocre rating , also it is a fast food restaurant , moderately priced and city centre and family friendly near nearVariable , also it is a pub , you know , alright ?"
11,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is moderately priced , also it 's just family friendly , and this restaurant is in city centre . it is a fast food place . it is a pub . it is near nearVariable . it has like , a mediocre rating .","nameVariable is a fast food restaurant , also it is moderately priced . it is a city centre . it is a nearVariable . it is a friendly . it is a pub . it has like , a mediocre rating .","basically , i thought everybody knew that nameVariable is a fast food place , also it is a friendly , it 's near nearVariable and it is moderately priced . it is a damn mediocre rating . it is a city centre . it is a coffee shop ."
12,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? nameVariable is a pub with a mediocre rating , also it is a fast food restaurant in city centre near nearVariable , kid friendly and moderately priced .","let 's see what we can find on nameVariable . well , i see it is a fast food restaurant in city centre , moderately priced near nearVariable and kid friendly with a mediocre rating , also it is a pub .","let 's see , nameVariable ... i see , well it is a priced , a fast food restaurant and city centre and family friendly near nearVariable with a mediocre rating and it is a coffee shop ."
13,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh god err ... i am not sure . i mean , nameVariable is a pub with a mediocre rating , and it is a fast food place , near nearVariable kid friendly in city centre and moderately priced .","oh god i do n't know . nameVariable is a pub with a mediocre rating , also it is darn moderately priced , city centre , a fast food place near nearVariable and kid friendly ,","oh god i do n't know . nameVariable is a pub , a mediocre rating , also it is a fast food place , also it is darn moderately priced in city centre , and it is darn family friendly near nearVariable ."
14,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a fast food place , moderately priced and damn family friendly buddy , nameVariable is a pub , it has a mediocre rating , also it is near nearVariable , and it is in city centre .","nameVariable is a mediocre rating , it is a fast food place , it is moderately priced , it 's a city centre , it is a pub , you know and it is moderately priced near nearVariable .","nameVariable is a mediocre rating , it is a fast food place , it is in city centre , it is is a friendly , also it 's a pub , you know , it is near nearVariable and it is moderately priced !"
15,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? right , well , nameVariable has a excellent rating , also nameVariable is a pub , also it is a japanese restaurant , kid friendly near nearVariable and rather cheap in city centre , you see ?","let 's see what we can find on nameVariable . well , it is a japanese restaurant in city centre , cheap and near nearVariable and cheap with a excellent rating , also it is a pub , you know , okay ?","let 's see , nameVariable ... right , it is a japanese restaurant , cheap and near nearVariable and friendly in city centre with a rather excellent rating , also it is a pub , you know , alright ?"
16,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is cheap with a excellent rating . it 's near nearVariable . it is damn kid friendly , also it is a pub , also it is a japanese restaurant , also it is in city centre .","i mean , i thought everybody knew that nameVariable is a japanese restaurant , also it is a . it is a city centre . it is a nearVariable . it is a friendly . it is a , a excellent rating . it is a pub .","nameVariable is a japanese place , also it is cheap . it is a nearVariable . it is a friendly . it is a city centre . it is a , a excellent rating . it is a pub ."
17,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... i see , well , i think that nameVariable is cheap , a japanese restaurant near nearVariable in city centre and kid friendly with a excellent rating , also it is a pub .","let 's see what we can find on nameVariable . well , i see it is a japanese restaurant in city centre , cheap near nearVariable and kid friendly with a excellent rating and it is a pub .","let 's see , nameVariable ... well , i see it is a japanese restaurant , city centre near nearVariable and family friendly with a excellent rating , also it is a pub , and it is cheap ."
18,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . nameVariable is darn near nearVariable cheap in city centre , a japanese place and family friendly and it has like , a excellent rating , also it is a pub .","oh god i do n't know . nameVariable is a japanese place in city centre , cheap near nearVariable and kid friendly with a excellent rating , also it is a pub !","oh god i do n't know . nameVariable is a japanese place , cheap and city centre and kid friendly near nearVariable , also it has like , a excellent rating , and it is a pub ."
19,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is cheap , a japanese place near nearVariable in city centre and kid friendly , it has a excellent rating pal and nameVariable is a pub , you know !","i nameVariable is a japanese place , city centre , cheap and family friendly near nearVariable , it is a pub , also it has a excellent rating , you know !","nameVariable is a japanese place , it is near nearVariable , it is a excellent rating , it is is in city centre , it is a friendly , it 's a pub and it is cheap , you know !"
20,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . oh right it is an italian restaurant near nearVariable , family friendly and rather moderately priced in city centre and it is a pub , okay ?","you want to know more about nameVariable ? right , it is a pub , also it is an italian restaurant , city centre , nearVariable , rather moderately priced and family friendly , you know , alright ?","let 's see , nameVariable ... right , it is a pub , also it is somewhat moderately priced , city centre , also it is somewhat family friendly and an italian restaurant near nearVariable , alright ?"
21,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is near nearVariable , also it is an italian restaurant . it 's a pub , also it is in city centre , and it is damn moderately priced . it is kid friendly .","nameVariable is damn moderately priced , also it 's an italian place . it is a pub . it is in city centre . it is near nearVariable . it is a pub .","actually , i thought everybody knew that nameVariable is damn moderately priced , also it 's a pub . it is in city centre . it is an italian place . it is near nearVariable . it is family friendly ."
22,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see , i guess it is a pub and it is moderately priced , near nearVariable kid friendly in city centre and an italian restaurant .","let 's see what we can find on nameVariable . well , i see it is an italian restaurant in city centre , moderately priced near nearVariable and kid friendly and it is a pub .","let 's see , nameVariable ... well , i see it is a pub , also it is moderately priced , city centre , family friendly near nearVariable and an italian restaurant ."
23,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh yeah , i am not sure . nameVariable is moderately priced near nearVariable , an italian place and damn kid friendly in city centre , also it is a pub .","oh god i do n't know . nameVariable is a pub , also it is darn moderately priced , city centre , an italian place and kid friendly near nearVariable .","oh god i do n't know . nameVariable is a pub , also it is damn moderately priced , city centre , also it is an italian place near nearVariable , and it is darn friendly ."
24,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a pub , also nameVariable is in city centre , and nameVariable is an italian place , moderately priced near nearVariable and kid friendly .","i see , nameVariable is a pub , it is moderately priced , city centre , it is an italian place , it is near nearVariable and it is kid friendly , you know !","nameVariable is a pub , also it is in city centre , you know , it is an italian place and it is moderately priced near nearVariable and family friendly !"
25,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? right , nameVariable is a pub , also it is rather kid friendly and an italian restaurant near nearVariable in city centre , you know , alright ?","let 's see what we can find on nameVariable . well , i see , i suppose it is an italian restaurant in city centre and nearVariable and family friendly , also it is a pub , you see ?","let 's see , nameVariable ... oh , it is is an italian restaurant and city centre and rather family friendly near nearVariable , also it is a pub , alright ?"
26,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is an italian place in city centre , it is damn family friendly and it 's a pub . it is near nearVariable .","nameVariable is an italian place , also it is damn kid friendly . it is a pub . it is in city centre . it is near nearVariable .","nameVariable is an italian place and it is in city centre , also it is near nearVariable , also it is family friendly . it is a pub ."
27,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... i see , well it is a pub , also it is kid friendly sort of in city centre , and it is an italian restaurant near nearVariable .","let 's see what we can find on nameVariable . well , i see it is an italian restaurant near nearVariable and city centre and kid friendly and it is a pub .","let 's see , nameVariable ... well , i see it is an italian restaurant and in city centre family friendly near nearVariable and it is a pub ."
28,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , oh god i am not sure . nameVariable is a pub and nameVariable is kid friendly in city centre and an italian place near nearVariable , i mean .","oh god i do n't know . nameVariable is an italian place in city centre and nearVariable and damn friendly , also it is a pub !","oh god i do n't know . nameVariable is a pub , also it is damn family friendly , also it 's an italian place in city centre near nearVariable !"
29,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is family friendly in city centre . nameVariable is an italian place near nearVariable , you know buddy and it is a pub .","nameVariable is an italian place in city centre near nearVariable and family friendly , also it is a pub , you know !","i nameVariable is an italian place in city centre near nearVariable and it is a pub , also it is kid friendly , you know !"
30,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? i see , well nameVariable is quite family friendly , a chinese place and moderately priced near nearVariable and it is in riverside , also it is a restaurant , okay ?","let 's see what we can find on nameVariable . well , it is a chinese restaurant , rather moderately priced in riverside and family friendly near nearVariable and it is a pub , you see ?","let 's see , nameVariable ... oh , it is a chinese restaurant , rather in riverside and friendly near nearVariable and moderately priced , also it is a restaurant , you know , alright ?"
31,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is a chinese place and damn kid friendly . it is a restaurant . it is near nearVariable , also it is moderately priced in riverside .","basically , i mean , i thought everybody knew that nameVariable is a chinese place , also it is moderately priced . it is in riverside . it is near nearVariable . it is a pub . it is kid friendly .","nameVariable is a chinese place , also it is damn priced . it is a riverside . it is a friendly . it is near nearVariable . it is a restaurant ."
32,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... well , i see it is moderately priced , family friendly in riverside and a chinese restaurant near nearVariable and it is a restaurant .","let 's see what we can find on nameVariable . well , i see it is a chinese restaurant in riverside , moderately priced near nearVariable and kid friendly and it is a pub .","you want to know more about nameVariable ? well , i see it is a chinese place , riverside , family friendly near nearVariable and moderately priced , also it is a restaurant ."
33,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . nameVariable is a restaurant , also it is damn near nearVariable moderately priced in riverside , kid friendly and a chinese place !","oh god i do n't know . nameVariable is a chinese place , damn moderately priced in riverside and kid friendly near nearVariable and it is a pub .","oh god i do n't know . nameVariable is a chinese place , damn , also it is a of near nearVariable , also it is a friendly , also it 's a chinese place , also it is in riverside ."
34,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is in riverside and it is near nearVariable , also it is a restaurant , you know . nameVariable is family friendly , a chinese place and moderately priced mate .","nameVariable is a chinese place , moderately priced in riverside and family friendly near nearVariable and it is a pub , you know !","nameVariable is a chinese place , nearVariable , family friendly and moderately priced in riverside , also it is a restaurant , you know , !"
35,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... well , yeah it is near nearVariable with a excellent rating , also it is a pub , buddy , alright ?","let 's see what we can find on nameVariable . oh , it is a restaurant with a excellent rating , also it is kind of near nearVariable , you know , alright ?","let 's see , nameVariable ... right , it is a of near nearVariable with a rather excellent rating , also it is a pub , alright ?"
36,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is a pub , also it has like , a excellent rating . it is near nearVariable . oh god i mean .",nameVariable is a nearVariable with a damn excellent rating . it is a restaurant .,"nameVariable is near nearVariable , also it is a pub . it has like , a excellent rating ."
37,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",conscientiousness,"let 's see what we can find on nameVariable . well , it is a pub with a excellent rating and it is sort of near nearVariable .","let 's see what we can find on nameVariable . i see , well it is sort of near nearVariable with a excellent rating , also it is a restaurant .","let 's see , nameVariable ... well , i see it is sort of near nearVariable with a excellent rating and it is a pub ."
38,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",unconscientiousness,"oh god yeah , i am not sure . i mean nameVariable is a pub with a excellent rating , also it is near nearVariable .","oh gosh i do n't know . nameVariable is a pub with a damn excellent rating , also it is kind of near nearVariable .","oh gosh i do n't know . nameVariable is a pub , also it is near nearVariable , also it has a damn excellent rating !"
39,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",extravert,"nameVariable is near nearVariable with a excellent rating , also nameVariable is a pub .","nameVariable is a nearVariable , it is a excellent rating and it is a pub , you know pal !","nameVariable is a pub , it is near nearVariable , you know and it has a excellent rating pal !"
40,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""low"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? ok , it is a restaurant with a quite low rating , also it is near nearVariable , and it is n't somewhat family friendly , you see ?","let 's see what we can find on nameVariable . well , it is a restaurant with a low rating , also it is n't somewhat family friendly , and it 's sort of near nearVariable , alright ?","let 's see , nameVariable ... oh , it is a restaurant with a low rating , also it is n't somewhat family friendly , and it 's near nearVariable , alright ?"
41,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""low"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,nameVariable is n't kid friendly with a damn low rating . it is near nearVariable . it is a restaurant .,"nameVariable is n't kid friendly , also it 's near nearVariable . it is a restaurant . it has like , a low rating .","oh god basically , everybody knows that nameVariable is near nearVariable with a low rating . it is a restaurant and it is n't family friendly ."
42,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""low"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , it is n't family friendly with a low rating , also it 's sort of near nearVariable , and it is a restaurant .","let 's see what we can find on nameVariable . well , i see it is sort of near nearVariable with a low rating , also it is a restaurant , and it is n't kid friendly .","you want to know more about nameVariable ? well , i see it is a restaurant with a low rating , also it is sort of near nearVariable , and it is n't family friendly ."
43,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""low"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh i mean , i do n't know . nameVariable is near nearVariable with a low rating and it is a restaurant , also it is n't family friendly !","oh god i do n't know . nameVariable is a restaurant , also it is n't kid friendly , also it has like , a low rating , and it is kind of near nearVariable .","oh gosh i do n't know . nameVariable is a restaurant , also it is n't damn friendly , also it 's near nearVariable , also it has like , a low rating ."
44,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""low"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable has a low rating , it is n't kid friendly , you know buddy , it 's near nearVariable and it is a restaurant !","nameVariable is a restaurant , it is n't kid friendly , it 's near nearVariable and it has a low rating , you know pal !","i , nameVariable is near nearVariable , it is n't family friendly , the rating is low and it is a restaurant , you know !"
45,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? oh it is n't kid friendly with a quite decent rating , it is an italian restaurant and it is somewhat near nearVariable moderately priced in riverside , also it is a pub , alright ?","let 's see what we can find on nameVariable . right , it is a pub with a decent rating , also it is an italian restaurant in riverside near nearVariable and moderately priced , also it is n't somewhat family friendly , you know , alright ?","let 's see , nameVariable ... oh , it is a pub with a decent rating , also it is n't somewhat family friendly , also it 's an italian restaurant and moderately priced near nearVariable , you know , alright ?"
46,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is in riverside , it is near nearVariable , also it is moderately priced , and the rating is decent , also it is n't damn kid friendly . it is a pub . it is an italian restaurant , basically .",nameVariable is moderately priced with a decent rating . it is a italian place . it is in riverside . it is near nearVariable . it is a pub . it is n't kid friendly .,"nameVariable is a italian place and it is moderately priced . it is near nearVariable . it is a pub . it is in riverside . it is n't damn family friendly . it has like , a decent rating ."
47,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"let 's see what we can find on nameVariable . i see , it is a pub with a decent rating and nameVariable is an italian restaurant in riverside near nearVariable and moderately priced , also it is n't family friendly .","let 's see what we can find on nameVariable . well , i see it is n't family friendly with a decent rating , it is an italian restaurant in riverside and moderately priced near nearVariable and it is a pub .","you want to know more about nameVariable ? well , i see it is a pub with a decent rating , also it is moderately priced and an italian restaurant near nearVariable in riverside , and it is n't family friendly ."
48,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"i am not sure . nameVariable is n't damn family friendly , also it 's a pub , it is near nearVariable in riverside , nameVariable is darn moderately priced and an italian place and it has like , a decent rating .","oh gosh i do n't know . nameVariable is a pub with a decent rating , also it is an italian place in riverside , also it is damn moderately priced near nearVariable , also it is n't kid friendly !","oh gosh i do n't know . nameVariable is a pub , also it is n't damn family friendly , also it 's a decent rating , also it is an italian place near nearVariable and moderately priced in riverside ."
