id,slot_value,personality,ground_truth,TOKEN,FVN-,FVN
10,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . yeah , right it is a eatTypeVariable with a customerRatingVariable rating , also it is rather moderately priced , also it 's a fast food restaurant in city centre and kid friendly near nearVariable , okay ?","let 's see what ? can find on nameVariable . a , , a a a a , , customerRatingVariable rating , , , , , , , , , , , , , , , , , , , , , , , , ?","let 's see what we can find on nameVariable . ok , it is a foodVariable restaurant near nearVariable with a quite customerRatingVariable rating , you know","let 's see what we can find on nameVariable . right , it is a coffee shop with a customerRatingVariable rating , also it is somewhat foodVariable restaurant , areaVariable , and it is family friendly near nearVariable , also it"
11,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is moderately priced , also it 's just family friendly , and this restaurant is in city centre . it is a fast food place . it is a eatTypeVariable . it is near nearVariable . it has like , a customerRatingVariable rating .","nameVariable is a foodVariable , , it is is is it is it it it it it it it it it it it it it it it it it it it it it it it . it is . . . . . .",nameVariable is a foodVariable place with a damn customerRatingVariable rating . it is a eatTypeVariable .,"nameVariable is a coffee shop , also it is a foodVariable place , also it is kid friendly , also it 's in city centre . it has like , a customerRatingVariable rating . it is near nearVariable . it has a price range of £20-25 ."
12,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? nameVariable is a eatTypeVariable with a customerRatingVariable rating , also it is a fast food restaurant in city centre near nearVariable , kid friendly and moderately priced .","let 's see what we can find on nameVariable . i see , is a is a , , , it customerRatingVariable rating , it , a it , and it is and it and it and it .","let 's see , nameVariable ... well , i see it is a foodVariable restaurant near nearVariable with a customerRatingVariable rating and it is a eatTypeVariable .","you want to know more about nameVariable ? i see , well it is a coffee shop with a customerRatingVariable rating , also it is a foodVariable restaurant , areaVariable , family friendly near nearVariable and moderately priced ."
13,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh god err ... i am not sure . i mean , nameVariable is a eatTypeVariable with a customerRatingVariable rating , and it is a fast food place , near nearVariable kid friendly in city centre and moderately priced .","oh god i am i am . know . nameVariable is a coffee shop , a , rating , , , , , , , , , , , , , , , , , , it it is a .","oh god yeah , i do n't know . nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating ,","oh god i do n't know . nameVariable is a coffee shop , also it is darn kid friendly , also it has like , a customerRatingVariable rating , also it is a foodVariable place in areaVariable , and it is moderately priced , also it 's near nearVariable ."
14,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a fast food place , moderately priced and damn family friendly buddy , nameVariable is a eatTypeVariable , it has a customerRatingVariable rating , also it is near nearVariable , and it is in city centre .","nameVariable is a coffee shop , it customerRatingVariable rating , , , , , , , , , , , , , , , , , , , , , , , , , , ,","nameVariable is a foodVariable place near nearVariable , it has a customerRatingVariable rating , you","nameVariable is a coffee shop , it is a friendly , it 's a foodVariable place , it is near nearVariable , it has a customerRatingVariable rating , you know and it is in areaVariable centre and it"
15,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? right , well , nameVariable has a customerRatingVariable rating , also nameVariable is a eatTypeVariable , also it is a foodVariable restaurant , kid friendly near nearVariable and rather priceRangeVariable in city centre , you see ?","let 's see what ? can find on nameVariable . a , , a a a a , , customerRatingVariable rating , , , , , , , , , , , , , , , , , , , , , , , , ?","let 's see what we can find on nameVariable . ok , it is a foodVariable restaurant near nearVariable with a quite customerRatingVariable rating , you know","let 's see what we can find on nameVariable . right , it is a coffee shop with a customerRatingVariable rating , also it is somewhat foodVariable restaurant , areaVariable , and it is family friendly near nearVariable , also it"
16,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is priceRangeVariable with a customerRatingVariable rating . it 's near nearVariable . it is damn kid friendly , also it is a eatTypeVariable , also it is a foodVariable restaurant , also it is in city centre .","nameVariable is a foodVariable , , it is is is it is it it it it it it it it it it it it it it it it it it it it it it it . it is . . . . . .",nameVariable is a foodVariable place with a damn customerRatingVariable rating . it is a eatTypeVariable .,"oh god basically , i thought everybody knew that nameVariable is a coffee shop with a customerRatingVariable rating , it is in areaVariable , also it is family friendly , and it 's a foodVariable place . it is near nearVariable . it is a price range of £20-25 ."
17,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... i see , well , i think that nameVariable is priceRangeVariable , a foodVariable restaurant near nearVariable in city centre and kid friendly with a customerRatingVariable rating , also it is a eatTypeVariable .","let 's see what we can find on nameVariable . i see , is a is a , , , it customerRatingVariable rating , it , a it , and it is and it and it and it .","let 's see , nameVariable ... well , i see it is a foodVariable restaurant near nearVariable with a customerRatingVariable rating and it is a eatTypeVariable .","let 's see what we can find on nameVariable . well , i see it is a coffee shop with a customerRatingVariable rating , also it is a foodVariable restaurant , areaVariable , family friendly near nearVariable and moderately priced ."
18,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . nameVariable is darn near nearVariable priceRangeVariable in city centre , a foodVariable place and family friendly and it has like , a customerRatingVariable rating , also it is a eatTypeVariable .","oh god i am i am . know . nameVariable is a coffee shop , a , rating , , , , , , , , , , , , , , , , , , it it is a .","oh god yeah , i do n't know . nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating ,","oh god i do n't know . nameVariable is a coffee shop , also it is darn kid friendly , also it has like , a customerRatingVariable rating , also it is a foodVariable place in areaVariable , and it is moderately priced , also it 's near nearVariable ."
19,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is priceRangeVariable , a foodVariable place near nearVariable in city centre and kid friendly , it has a customerRatingVariable rating pal and nameVariable is a eatTypeVariable , you know !","nameVariable is a coffee shop , it customerRatingVariable rating , , , , , , , , , , , , , , , , , , , , , , , , , , ,","nameVariable is a foodVariable place near nearVariable , it has a customerRatingVariable rating , you","nameVariable is a coffee shop , it is a friendly , it 's a foodVariable place , it is near nearVariable , it has a customerRatingVariable rating , you know and it is in areaVariable centre and it"
20,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . oh right it is an foodVariable restaurant near nearVariable , family friendly and rather moderately priced in city centre and it is a eatTypeVariable , okay ?","let 's see what we can find on nameVariable . is , , is is , , , , , , and and , , , , , , , , , , , , , , , ?","let 's see , nameVariable ... right , it is a foodVariable restaurant near nearVariable and rather moderately priced , also it is a eatTypeVariable , you know , you see ?","let 's see what we can find on nameVariable . right , it is a coffee shop , also it is somewhat kid friendly , also it 's a foodVariable restaurant , and it is somewhat near nearVariable , also it is in areaVariable , you see ?"
21,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is near nearVariable , also it is an foodVariable restaurant . it 's a eatTypeVariable , also it is in city centre , and it is damn moderately priced . it is kid friendly .","nameVariable is a foodVariable , , it is is is is it it it it it it it it it it it it it it it is it . it is . . . . .",nameVariable is a foodVariable place with a damn customerRatingVariable rating . it is a eatTypeVariable .,"obviously , basically nameVariable is a coffee shop , also it is in areaVariable , also it is damn family friendly , and it 's a foodVariable place . it is near nearVariable . it is a price range of £20-25 ."
22,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see , i guess it is a eatTypeVariable and it is moderately priced , near nearVariable kid friendly in city centre and an foodVariable restaurant .","let 's see what we can find on nameVariable . i see , is , is a foodVariable , , , nearVariable and and and and and and it is a coffee shop .","let 's see , nameVariable ... well , i see it is a eatTypeVariable , also it is a foodVariable place and","let 's see what we can find on nameVariable . well , i see it is a coffee shop , it is a foodVariable restaurant , nearVariable , it is family friendly and it 's moderately priced sort of in city centre ."
23,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh yeah , i am not sure . nameVariable is moderately priced near nearVariable , an foodVariable place and damn kid friendly in city centre , also it is a eatTypeVariable .","oh , i , i am not know . nameVariable is a coffee shop , , , near nearVariable , , , , , , , it is is a is a .","oh god yeah , i do n't know . nameVariable is a eatTypeVariable , also it is a foodVariable place ,","oh god yeah , i do n't know . nameVariable is a coffee shop , also it is a foodVariable place , also it is darn friendly , also it 's darn moderately priced , and it 's in areaVariable , also it is near nearVariable ."
24,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a eatTypeVariable , also nameVariable is in city centre , and nameVariable is an foodVariable place , moderately priced near nearVariable and kid friendly .","nameVariable is a coffee shop , it is is , , , , , , , , , , , , , , , , , , , , !","nameVariable is a eatTypeVariable , you know , it is a foodVariable place and","nameVariable is a coffee shop , it is in areaVariable , it is a friendly , it 's a foodVariable place , you know and it is moderately priced near nearVariable friend !"
25,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? right , nameVariable is a eatTypeVariable , also it is rather kid friendly and an foodVariable restaurant near nearVariable in city centre , you know , alright ?","let 's see what we can find on nameVariable . is , restaurant in nearVariable , and , nearVariable , friendly , , , is , is , , , , , , , , , , ?","let 's see , nameVariable ... right , it is a foodVariable restaurant near nearVariable and rather moderately priced , also it is a eatTypeVariable , you know , you see ?","let 's see , nameVariable ... right , it is a coffee shop , also it is a foodVariable restaurant near nearVariable , also it is somewhat kid friendly in areaVariable , you know ,"
26,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is an foodVariable place in city centre , it is damn family friendly and it 's a eatTypeVariable . it is near nearVariable .",nameVariable is is it is is is nameVariable is is is is it it is it is it is it is it is is is . . . . . . . .,nameVariable is a foodVariable place and it is a eatTypeVariable .,"moderately priced nameVariable is it 's a coffee shop , also it is in areaVariable . it 's a foodVariable place . it 's near nearVariable.. it is family friendly ."
27,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... i see , well it is a eatTypeVariable , also it is kid friendly sort of in city centre , and it is an foodVariable restaurant near nearVariable .","let 's see what we can find on nameVariable . i see , is it is is friendly and nearVariable and nearVariable and nearVariable and it is is coffee shop .","let 's see , nameVariable ... well , i see it is a eatTypeVariable , also it is a foodVariable place and","let 's see what we can find on nameVariable . well , i see it is a coffee shop , also it is a foodVariable restaurant near nearVariable in areaVariable and kid friendly ."
28,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , oh god i am not sure . nameVariable is a eatTypeVariable and nameVariable is kid friendly in city centre and an foodVariable place near nearVariable , i mean .","oh god i am i am not know . nameVariable is a coffee shop , nearVariable , nearVariable near nearVariable , , , it is is is coffee shop .","oh god yeah , i do n't know . nameVariable is a eatTypeVariable , also it is a foodVariable place ,","oh god oh gosh i do n't know . nameVariable is a coffee shop , also it is a foodVariable place , also it is in areaVariable , also it is darn kid friendly near nearVariable ."
29,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is family friendly in city centre . nameVariable is an foodVariable place near nearVariable , you know buddy and it is a eatTypeVariable .","nameVariable is a coffee shop , it is is nearVariable , , , , it is is is is , , , , , , , !","nameVariable is a foodVariable place near nearVariable , it has a customerRatingVariable rating , you","nameVariable is a coffee shop , it is in areaVariable , it is a friendly and it 's a foodVariable place near nearVariable , you"
30,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? i see , well nameVariable is quite family friendly , a foodVariable place and moderately priced near nearVariable and it is in areaVariable , also it is a eatTypeVariable , okay ?","let 's see what we can find on nameVariable . is , , is is , , , , , , and and , , , , , , , , , , , , , , , ?","let 's see , nameVariable ... right , it is a foodVariable restaurant near nearVariable and rather moderately priced , also it is a eatTypeVariable , you know , you see ?","let 's see what we can find on nameVariable . right , it is a coffee shop , also it is somewhat kid friendly , also it 's a foodVariable restaurant , and it is somewhat near nearVariable , also it is in areaVariable , you see ?"
31,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is a foodVariable place and damn kid friendly . it is a eatTypeVariable . it is near nearVariable , also it is moderately priced in areaVariable .","nameVariable is a foodVariable , , it is is is is it it it it it it it it it it it it it it it is it . it is . . . . .",nameVariable is a foodVariable place and it is a eatTypeVariable .,"nameVariable is a coffee shop , also it is in areaVariable , also it is damn friendly , also it 's damn moderately priced . it is near nearVariable . it is a foodVariable place ."
32,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... well , i see it is moderately priced , family friendly in areaVariable and a foodVariable eatTypeVariable near nearVariable and it is a eatTypeVariable .","let 's see what we can find on nameVariable . i see , is , is a foodVariable , , , nearVariable and and and and and and it is a coffee shop .","let 's see , nameVariable ... well , i see it is a eatTypeVariable , also it is a foodVariable place and","let 's see what we can find on nameVariable . well , i see it is a coffee shop , it is a foodVariable restaurant , nearVariable , it is family friendly and it 's moderately priced sort of in city centre ."
33,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . nameVariable is a eatTypeVariable , also it is damn near nearVariable moderately priced in areaVariable , kid friendly and a foodVariable place !","oh , i am i am not know . nameVariable is a coffee shop , , , near nearVariable , , , , , , it it is a is a coffee shop .","oh god yeah , i do n't know . nameVariable is a eatTypeVariable , also it is a foodVariable place ,","oh god yeah , i do n't know . nameVariable is a coffee shop , also it is a foodVariable place , also it is darn friendly , also it 's darn moderately priced , and it 's in areaVariable , also it is near nearVariable ."
34,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is in areaVariable and it is near nearVariable , also it is a eatTypeVariable , you know . nameVariable is family friendly , a foodVariable place and moderately priced mate .","nameVariable is a coffee shop , it is is , , , , , , , , , , , , , , , , , , , , !","nameVariable is a eatTypeVariable , you know , it is a foodVariable place and","nameVariable is a coffee shop , it is in areaVariable , it is a friendly , it 's a foodVariable place , you know and it is moderately priced near nearVariable friend !"
35,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... well , yeah it is near nearVariable with a customerRatingVariable rating , also it is a eatTypeVariable , buddy , alright ?","let you say nameVariable ? ok , ? nameVariable is a eatTypeVariable with a customerRatingVariable rating rating it it is is , , , , , ? ?","let 's see what we can find on nameVariable . ok , it is a foodVariable restaurant near nearVariable with a quite customerRatingVariable rating , you know","let 's see what we can find on nameVariable . oh , it is a eatTypeVariable with a rather customerRatingVariable rating , also it is sort of near nearVariable ,"
36,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is a eatTypeVariable , also it has like , a customerRatingVariable rating . it is near nearVariable . oh god i mean .","nameVariable is near nearVariable with a damn customerRatingVariable rating , it it is eatTypeVariable .",nameVariable is a foodVariable place with a damn customerRatingVariable rating . it is a eatTypeVariable .,"oh god basically , i thought everybody knew that nameVariable is a eatTypeVariable with a customerRatingVariable rating . it is near nearVariable ."
37,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",conscientiousness,"let 's see what we can find on nameVariable . well , it is a eatTypeVariable with a customerRatingVariable rating and it is sort of near nearVariable .","let you say nameVariable ? well , , nameVariable is a eatTypeVariable with a customerRatingVariable rating rating it is a of near nearVariable .","let 's see , nameVariable ... well , i see it is a foodVariable restaurant near nearVariable with a customerRatingVariable rating and it is a eatTypeVariable .","let 's see what we can find on nameVariable . well , i see it is sort of near nearVariable with a customerRatingVariable rating , also it is a eatTypeVariable ."
38,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",unconscientiousness,"oh god yeah , i am not sure . i mean nameVariable is a eatTypeVariable with a customerRatingVariable rating , also it is near nearVariable .","oh gosh i gosh i am not sure . nameVariable is a nearVariable with a customerRatingVariable a rating , it is is eatTypeVariable .","oh god yeah , i do n't know . nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating ,","oh god oh gosh i do n't know . nameVariable is a eatTypeVariable , also it has like , a customerRatingVariable rating , and it is near nearVariable ."
39,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",extravert,"nameVariable is near nearVariable with a customerRatingVariable rating , also nameVariable is a eatTypeVariable .","nameVariable is a eatTypeVariable rating , customerRatingVariable rating , eatTypeVariable , , it is near nearVariable , you know !","nameVariable is a foodVariable place near nearVariable , it has a customerRatingVariable rating , you","nameVariable is a eatTypeVariable , you know , it has a customerRatingVariable rating and it is near"
