id,slot_value,personality,ground_truth,FVN-,FVN without Control,FVN
11,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is priceRangeVariable priced , also it 's just familyFriendlyVariable , and this restaurant is in areaVariable . it is a foodVariable place . it is a eatTypeVariable . it is near nearVariable . it has like , a customerRatingVariable rating .","nameVariable is a foodVariable place , also it is near nearVariable . it has a damn customerRatingVariable rating .","oh god i mean , everybody knows that nameVariable is a foodVariable place with a customerRatingVariable rating . it 's a eatTypeVariable . it is familyFriendlyVariable . it is in areaVariable . it is near nearVariable .","oh god i mean , everybody knows that nameVariable is a eatTypeVariable with a customerRatingVariable rating . it is a foodVariable place . it is in areaVariable . it is familyFriendlyVariable near nearVariable . it is a price range of priceRangeVariable ."
12,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? nameVariable is a eatTypeVariable with a customerRatingVariable rating , also it is a foodVariable restaurant in areaVariable near nearVariable , familyFriendlyVariable and priceRangeVariable priced .","let 's see what we can find on nameVariable . i see , well it is a foodVariable restaurant near nearVariable with a customerRatingVariable rating .","let 's see what we can find on nameVariable . well , i see it is a eatTypeVariable with a customerRatingVariable rating , also it is an foodVariable restaurant , areaVariable , familyFriendlyVariable and nearVariable and priceRangeVariable .","let 's see what we can find on nameVariable . well , i see it is a eatTypeVariable with a customerRatingVariable rating , it is familyFriendlyVariable in areaVariable , a foodVariable restaurant and priceRangeVariable near nearVariable ."
13,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh god err ... i am not sure . i mean , nameVariable is a eatTypeVariable with a customerRatingVariable rating , and it is a foodVariable place , near nearVariable familyFriendlyVariable in areaVariable and priceRangeVariable priced .","oh god i do n't know . nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating , also it is a eatTypeVariable , i mean .","oh god i am not sure . nameVariable is a eatTypeVariable with a customerRatingVariable rating , also it is darn foodVariable place , areaVariable , familyFriendlyVariable and nearVariable and damn priceRangeVariable .","oh god i , i do n't know . nameVariable is a eatTypeVariable with a customerRatingVariable rating , also it is a foodVariable place , areaVariable , familyFriendlyVariable and nearVariable and priceRangeVariable priced , i mean ."
14,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a foodVariable place , priceRangeVariable priced and damn familyFriendlyVariable buddy , nameVariable is a eatTypeVariable , it has a customerRatingVariable rating , also it is near nearVariable , and it is in areaVariable .","nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating , you know buddy !","nameVariable is a eatTypeVariable with a customerRatingVariable rating , it is in areaVariable , it is familyFriendlyVariable and a foodVariable place near nearVariable and it is priceRangeVariable priced , you know !","nameVariable is a eatTypeVariable , it is a foodVariable place , it is familyFriendlyVariable , it 's in areaVariable , it is priceRangeVariable priced , it 's near nearVariable and it has a customerRatingVariable rating , you know !"
15,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? right , well , nameVariable has a customerRatingVariable rating , also nameVariable is a eatTypeVariable , also it is a foodVariable restaurant , familyFriendlyVariable near nearVariable and rather priceRangeVariable in areaVariable , you see ?","let 's see , nameVariable ... ok , it is a foodVariable restaurant near nearVariable with a rather customerRatingVariable rating , you know , alright ?","let 's see what we can find on nameVariable . yeah , it is a eatTypeVariable with a customerRatingVariable rating , also it is somewhat foodVariable restaurant , areaVariable , familyFriendlyVariable and rather priceRangeVariable priced near nearVariable , alright ?","let 's see what we can find on nameVariable . right , it is a eatTypeVariable with a customerRatingVariable rating , also it is somewhat foodVariable restaurant , areaVariable , rather priceRangeVariable priced and familyFriendlyVariable near nearVariable , you know , okay ?"
16,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is priceRangeVariable with a customerRatingVariable rating . it 's near nearVariable . it is damn familyFriendlyVariable , also it is a eatTypeVariable , also it is a foodVariable restaurant , also it is in areaVariable .","oh , i mean , everybody knows that nameVariable is a foodVariable place with a customerRatingVariable rating . it is near nearVariable .",nameVariable is a foodVariable place with a customerRatingVariable rating . it 's a eatTypeVariable . it is familyFriendlyVariable . it is in areaVariable . it is near nearVariable . it has a price range of priceRangeVariable .,nameVariable is a eatTypeVariable with a customerRatingVariable rating . it is a foodVariable place . it is in areaVariable . it is familyFriendlyVariable near nearVariable . it is a eatTypeVariable .
17,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... i see , well , i think that nameVariable is priceRangeVariable , a foodVariable restaurant near nearVariable in areaVariable and familyFriendlyVariable with a customerRatingVariable rating , also it is a eatTypeVariable .","let 's see what we can find on nameVariable . i see , well it is a foodVariable restaurant near nearVariable with a customerRatingVariable rating .","let 's see what we can find on nameVariable . well , i see it is a eatTypeVariable with a customerRatingVariable rating , also it is an foodVariable restaurant , areaVariable , familyFriendlyVariable and nearVariable and priceRangeVariable .","did you say nameVariable ? well , i see it is a eatTypeVariable with a customerRatingVariable rating , it is familyFriendlyVariable in areaVariable , a foodVariable restaurant and priceRangeVariable near nearVariable ."
18,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . nameVariable is darn near nearVariable priceRangeVariable in areaVariable , a foodVariable place and familyFriendlyVariable and it has like , a customerRatingVariable rating , also it is a eatTypeVariable .","oh god i do n't know . nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating , also it is a eatTypeVariable , i mean .","oh god i am not sure . nameVariable is a eatTypeVariable with a customerRatingVariable rating , also it is darn foodVariable place , areaVariable , familyFriendlyVariable and nearVariable and damn priceRangeVariable .","oh god i , i do n't know . nameVariable is a eatTypeVariable with a customerRatingVariable rating , also it is a foodVariable place , areaVariable , familyFriendlyVariable and nearVariable and priceRangeVariable priced , i mean ."
19,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is priceRangeVariable , a foodVariable place near nearVariable in areaVariable and familyFriendlyVariable , it has a customerRatingVariable rating pal and nameVariable is a eatTypeVariable , you know !","nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating , you know buddy !","nameVariable is a eatTypeVariable with a customerRatingVariable rating , it is in areaVariable , it is familyFriendlyVariable and a foodVariable place near nearVariable and it is priceRangeVariable priced , you know !","nameVariable is a eatTypeVariable , it is a foodVariable place , it is familyFriendlyVariable , it 's in areaVariable , it is priceRangeVariable priced , it 's near nearVariable and it has a customerRatingVariable rating , you know !"
20,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . oh right it is an foodVariable restaurant near nearVariable , familyFriendlyVariable and rather priceRangeVariable priced in areaVariable and it is a eatTypeVariable , okay ?","let 's see , nameVariable ... ok , it is a foodVariable restaurant near nearVariable and it is n't somewhat familyFriendlyVariable , you ?","let 's see what we can find on nameVariable . yeah , it is a eatTypeVariable , also it is somewhat foodVariable restaurant , areaVariable , familyFriendlyVariable and rather priceRangeVariable priced nearVariable , you know , alright ?","let 's see what we can find on nameVariable . right , it is a eatTypeVariable , also it is a foodVariable restaurant , areaVariable , rather familyFriendlyVariable and priceRangeVariable priced near nearVariable , you know , okay ?"
21,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is near nearVariable , also it is an foodVariable restaurant . it 's a eatTypeVariable , also it is in areaVariable , and it is damn priceRangeVariable priced . it is familyFriendlyVariable .","oh , i mean , everybody knows that nameVariable is a foodVariable place , also it is near nearVariable .","oh god basically , everybody knows that nameVariable is a foodVariable place , also it is a eatTypeVariable . it 's in areaVariable . it is familyFriendlyVariable . it is near nearVariable . it is a price range of priceRangeVariable .","nameVariable is a eatTypeVariable , also it is damn priceRangeVariable priced it is a foodVariable place . it 's in areaVariable . it is familyFriendlyVariable . it is near nearVariable ."
22,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see , i guess it is a eatTypeVariable and it is priceRangeVariable priced , near nearVariable familyFriendlyVariable in areaVariable and an foodVariable restaurant .","let 's see , nameVariable ... i see , well it is a foodVariable restaurant near nearVariable and priceRangeVariable priced","let 's see what we can find on nameVariable . well , i see it is a foodVariable restaurant in areaVariable near nearVariable and familyFriendlyVariable and priceRangeVariable priced and it is a eatTypeVariable .","did you say nameVariable ? well , i see it is a eatTypeVariable , it is familyFriendlyVariable in areaVariable , a foodVariable restaurant and priceRangeVariable near nearVariable ."
23,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh yeah , i am not sure . nameVariable is priceRangeVariable priced near nearVariable , an foodVariable place and damn familyFriendlyVariable in areaVariable , also it is a eatTypeVariable .","oh god i do n't know . nameVariable is a foodVariable place kind of near nearVariable , also it is a eatTypeVariable ,","oh god i am not sure . nameVariable is a eatTypeVariable , also it is in areaVariable , also it is darn foodVariable place , nearVariable , familyFriendlyVariable and damn priceRangeVariable .","oh god i , i do n't know . nameVariable is a eatTypeVariable , also it is a foodVariable place , areaVariable , familyFriendlyVariable and nearVariable and priceRangeVariable priced !"
24,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a eatTypeVariable , also nameVariable is in areaVariable , and nameVariable is an foodVariable place , priceRangeVariable priced near nearVariable and familyFriendlyVariable .","nameVariable is a foodVariable place , it is near nearVariable , it is familyFriendlyVariable , you know and it 's a eatTypeVariable !","nameVariable is a eatTypeVariable , it is in areaVariable , it is familyFriendlyVariable and a foodVariable place near nearVariable and it is priceRangeVariable priced , you know !","nameVariable is a eatTypeVariable , it is familyFriendlyVariable , it 's a foodVariable place , it is priceRangeVariable priced , it 's in areaVariable and it is near nearVariable , you know !"
25,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? right , nameVariable is a eatTypeVariable , also it is rather familyFriendlyVariable and an foodVariable restaurant near nearVariable in areaVariable , you know , alright ?","let 's see , nameVariable ... ok , it is a foodVariable restaurant near nearVariable and it is n't somewhat familyFriendlyVariable , you ?","let 's see what we can find on nameVariable . yeah , it is a foodVariable restaurant in areaVariable and nearVariable and rather familyFriendlyVariable , also it is a eatTypeVariable , you know , alright ?","let 's see what we can find on nameVariable . right , it is a eatTypeVariable , also it is a foodVariable restaurant in areaVariable , also it is somewhat familyFriendlyVariable near nearVariable , you know , okay ?"
26,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is an foodVariable place in areaVariable , it is damn familyFriendlyVariable and it 's a eatTypeVariable . it is near nearVariable .","nameVariable is a foodVariable place , also it is near nearVariable . it is a eatTypeVariable .","moderately priced nameVariable is it 's familyFriendlyVariable , also it 's a foodVariable place it is in areaVariable . it 's near nearVariable . it 's a eatTypeVariable.. oh god come on .","moderately priced nameVariable is it is a eatTypeVariable , also it is in areaVariable . it 's a foodVariable place . it 's near nearVariable . it 's familyFriendlyVariable.. oh god actually ."
27,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... i see , well it is a eatTypeVariable , also it is familyFriendlyVariable sort of in areaVariable , and it is an foodVariable restaurant near nearVariable .","let 's see , nameVariable ... i see , well it is a foodVariable restaurant near nearVariable and priceRangeVariable priced","let 's see what we can find on nameVariable . well , i see it is a foodVariable restaurant and areaVariable and familyFriendlyVariable near nearVariable and it is a eatTypeVariable .","let 's see what we can find on nameVariable . well , i see it is a eatTypeVariable , also it is a foodVariable restaurant in areaVariable and familyFriendlyVariable near nearVariable ."
28,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , oh god i am not sure . nameVariable is a eatTypeVariable and nameVariable is familyFriendlyVariable in areaVariable and an foodVariable place near nearVariable , i mean .","oh god i do n't know . nameVariable is a foodVariable place kind of near nearVariable , also it is a eatTypeVariable ,","oh god i am not sure . nameVariable is a foodVariable place in areaVariable and familyFriendlyVariable near nearVariable , also it is a eatTypeVariable !","oh god i , i do n't know . nameVariable is a eatTypeVariable , also it is a foodVariable place in areaVariable , also it is darn familyFriendlyVariable near nearVariable ."
29,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is familyFriendlyVariable in areaVariable . nameVariable is an foodVariable place near nearVariable , you know buddy and it is a eatTypeVariable .","nameVariable is a foodVariable place , it is near nearVariable , it is familyFriendlyVariable , you know and it 's a eatTypeVariable !","nameVariable is a foodVariable place in areaVariable and familyFriendlyVariable , also it is near nearVariable , you know and it is a eatTypeVariable .","nameVariable is a eatTypeVariable , it is familyFriendlyVariable , it 's a foodVariable place in areaVariable and it is near nearVariable , you know pal !"
30,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? i see , well nameVariable is quite familyFriendlyVariable , a foodVariable place and priceRangeVariable priced near nearVariable and it is in areaVariable , also it is a eatTypeVariable , okay ?","let 's see , nameVariable ... ok , it is a foodVariable restaurant near nearVariable and it is n't somewhat familyFriendlyVariable , you ?","let 's see what we can find on nameVariable . yeah , it is a eatTypeVariable , also it is somewhat foodVariable restaurant , areaVariable , familyFriendlyVariable and rather priceRangeVariable priced nearVariable , you know , alright ?","let 's see what we can find on nameVariable . right , it is a eatTypeVariable , also it is a foodVariable restaurant , areaVariable , rather familyFriendlyVariable and priceRangeVariable priced near nearVariable , you know , okay ?"
31,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is a foodVariable place and damn familyFriendlyVariable . it is a eatTypeVariable . it is near nearVariable , also it is priceRangeVariable priced in areaVariable .","nameVariable is a foodVariable place , also it is near nearVariable . it is a eatTypeVariable .","oh god basically , everybody knows that nameVariable is a foodVariable place , also it is a eatTypeVariable . it 's in areaVariable . it is familyFriendlyVariable . it is near nearVariable . it is a price range of priceRangeVariable .","oh god basically , i thought everybody knew that nameVariable is a eatTypeVariable , also it is priceRangeVariable priced . it is a foodVariable place . it is in areaVariable . it is familyFriendlyVariable . it is near nearVariable ."
32,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... well , i see it is priceRangeVariable priced , familyFriendlyVariable in areaVariable and a foodVariable eatTypeVariable near nearVariable and it is a eatTypeVariable .","let 's see , nameVariable ... i see , well it is a foodVariable restaurant near nearVariable and priceRangeVariable priced","let 's see what we can find on nameVariable . well , i see it is a foodVariable restaurant in areaVariable near nearVariable and familyFriendlyVariable and priceRangeVariable priced and it is a eatTypeVariable .","let 's see what we can find on nameVariable . well , i see it is a eatTypeVariable , it is familyFriendlyVariable in areaVariable , a foodVariable restaurant and priceRangeVariable near nearVariable ."
33,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . nameVariable is a eatTypeVariable , also it is damn near nearVariable priceRangeVariable priced in areaVariable , familyFriendlyVariable and a foodVariable place !","oh god i do n't know . nameVariable is a foodVariable place kind of near nearVariable , also it is a eatTypeVariable ,","oh god i am not sure . nameVariable is a eatTypeVariable , also it is in areaVariable , also it is darn foodVariable place , nearVariable , familyFriendlyVariable and damn priceRangeVariable .","i ... i do n't know . nameVariable is a eatTypeVariable , also it is a foodVariable place , areaVariable , damn familyFriendlyVariable and nearVariable and damn priceRangeVariable priced ."
