DEBUG:root:network : controlled_CVAE
cuda_device : 2
seed : 0
spv_proportion : 100
truncated : False
act_size : 8
personality_size : 0
domain : e2e
dialog_path : data/dialogue/e2e-dataset/train.json
test_dialog_path : data/dialogue/e2e-dataset/test.json
dev_dialog_path : data/dialogue/e2e-dataset/test.json
condition_size : 79
slot_path : data/dialogue/e2e-dataset/slot_value.json
slot_max_ts : 21
text_max_ts : 82
split : None
python_path : /home/huxu/anaconda3/envs/p3-torch13/bin/python
VAE : False
various_go : False
commitment_cost : 1.0
grad_clip_norm : 1.0
max_turn : 200
emb_size : 300
emb_trainable : True
hidden_size : 300
lr : 0.001
lr_decay : 1.0
batch_size : 128
dropout_rate : 0.0
epoch_num : 1
cuda : True
early_stop_count : 30
vocab_size : None
remove_slot_value : False
encoder_layer_num : 1
beam_search : False
beam_size : 10
beam_len_bonus : 0.5
teacher_force : 50
glove_path : ./data/glove.840B.300d.txt
model_path : ./models/controlled_CVAE_e2e_EL1.pkl
result_path : ./results/controlled_CVAE_e2e_EL1TMT82.csv
vocab_emb : ./vocabs/embedding_e2e.npy
vocab_path : ./vocabs/e2e.p

DEBUG:root:Device: 2
INFO:root:total trainable params: 6280122
INFO:root:Controlled_CVAE(
  (encoder): SimpleDynamicEncoder(
    (embedding): Embedding(3024, 300)
    (gru): GRU(300, 300, bidirectional=True)
  )
  (vocab_vq_vae): Vocab_VectorQuantizer(
    (embedding): Embedding(3024, 300)
  )
  (vae): VAE(
    (fc1): Linear(in_features=379, out_features=379, bias=True)
    (fc21): Linear(in_features=379, out_features=300, bias=True)
    (fc22): Linear(in_features=379, out_features=300, bias=True)
    (fc3): Linear(in_features=300, out_features=379, bias=True)
    (fc4): Linear(in_features=379, out_features=379, bias=True)
  )
  (decoder): Condition_RNN_Decoder(
    (emb): Embedding(3024, 300)
    (rnn): GRU(379, 300)
    (emb_proj): Linear(in_features=300, out_features=300, bias=True)
    (proj): Linear(in_features=300, out_features=3024, bias=True)
  )
  (act_predictor): MultiLabel_Classification(
    (linear1): Linear(in_features=300, out_features=150, bias=True)
    (linear2): Linear(in_features=150, out_features=79, bias=True)
  )
  (act_mlp): MLP(
    (linear1): Linear(in_features=600, out_features=1200, bias=True)
    (linear2): Linear(in_features=1200, out_features=300, bias=True)
  )
  (dec_loss): NLLLoss()
)
INFO:root:embedding.  mean: 0.000241  std 0.511211
DEBUG:root:bucket 1 instance 42061
DEBUG:root:loss:8.869344711303711 reconloss:7.997044563293457 KLD:0.002000595908612013 actloss:0.6951767802238464 vocabvqloss0.17512211203575134 grad:0.35358734613375176
DEBUG:root:loss:4.068896293640137 reconloss:3.5988221168518066 KLD:0.0002211125975009054 actloss:0.2198328971862793 vocabvqloss0.25001996755599976 grad:0.4496159215745822
DEBUG:root:loss:3.8067281246185303 reconloss:3.346980571746826 KLD:0.0002075872616842389 actloss:0.21540243923664093 vocabvqloss0.24413757026195526 grad:0.34847975229146255
DEBUG:root:loss:3.981574535369873 reconloss:3.492741346359253 KLD:0.00016511227295268327 actloss:0.22204194962978363 vocabvqloss0.2666260302066803 grad:0.3561949618015413
DEBUG:root:loss:3.9086482524871826 reconloss:3.3863980770111084 KLD:0.00016546361439395696 actloss:0.2218560427427292 vocabvqloss0.3002285957336426 grad:0.3387230210220848
DEBUG:root:loss:4.059231281280518 reconloss:3.5782413482666016 KLD:0.00016968675481621176 actloss:0.21701142191886902 vocabvqloss0.2638086974620819 grad:0.39914009138271284
DEBUG:root:loss:4.010203838348389 reconloss:3.493461847305298 KLD:0.00015940402226988226 actloss:0.2179582417011261 vocabvqloss0.29862430691719055 grad:0.44755863437141075
DEBUG:root:loss:3.794654369354248 reconloss:3.3027262687683105 KLD:0.00016008218517526984 actloss:0.2181147336959839 vocabvqloss0.2736535668373108 grad:0.33653788948762015
DEBUG:root:loss:4.0337066650390625 reconloss:3.4904990196228027 KLD:0.0001793641858967021 actloss:0.22022667527198792 vocabvqloss0.3228018283843994 grad:0.43662881380886037
DEBUG:root:loss:3.775815725326538 reconloss:3.2783212661743164 KLD:0.00022096678731031716 actloss:0.21516655385494232 vocabvqloss0.2821069061756134 grad:0.38246878187305616
DEBUG:root:loss:3.9776761531829834 reconloss:3.4863505363464355 KLD:0.00026546974550001323 actloss:0.21008498966693878 vocabvqloss0.28097543120384216 grad:0.45753941472606546
DEBUG:root:loss:4.100295066833496 reconloss:3.624532461166382 KLD:0.00030621333280578256 actloss:0.20904387533664703 vocabvqloss0.26641255617141724 grad:0.43272775747179926
DEBUG:root:loss:3.7962217330932617 reconloss:3.3697621822357178 KLD:0.00031147204572334886 actloss:0.21714502573013306 vocabvqloss0.2090032398700714 grad:0.4446787013323566
DEBUG:root:loss:3.705336809158325 reconloss:3.2278287410736084 KLD:0.00022461848857346922 actloss:0.2137133926153183 vocabvqloss0.2635701298713684 grad:0.37622072201795753
DEBUG:root:loss:3.7480082511901855 reconloss:3.301306962966919 KLD:0.00018707072013057768 actloss:0.2097053825855255 vocabvqloss0.2368088662624359 grad:0.4510925342878574
DEBUG:root:loss:3.7959232330322266 reconloss:3.370898485183716 KLD:0.00018421723507344723 actloss:0.2136518359184265 vocabvqloss0.21118851006031036 grad:0.4783039068458534
DEBUG:root:loss:3.5451903343200684 reconloss:3.061251401901245 KLD:0.00020983885042369366 actloss:0.21926942467689514 vocabvqloss0.2644595205783844 grad:0.5304401669190618
DEBUG:root:loss:3.686002492904663 reconloss:3.2634031772613525 KLD:0.00021985004423186183 actloss:0.21441718935966492 vocabvqloss0.20796233415603638 grad:0.3363110346385119
DEBUG:root:loss:3.9127466678619385 reconloss:3.392843246459961 KLD:0.0002127344923792407 actloss:0.21803537011146545 vocabvqloss0.3016553521156311 grad:0.3817931047539223
DEBUG:root:loss:3.8696320056915283 reconloss:3.390796422958374 KLD:0.0002540209097787738 actloss:0.21389484405517578 vocabvqloss0.26468679308891296 grad:0.48221759700972466
DEBUG:root:loss:3.9171030521392822 reconloss:3.433084011077881 KLD:0.0002808905846904963 actloss:0.21179957687854767 vocabvqloss0.2719384729862213 grad:0.4361639269445487
DEBUG:root:loss:3.528184413909912 reconloss:3.0356156826019287 KLD:0.0003066914214286953 actloss:0.21290454268455505 vocabvqloss0.2793576717376709 grad:0.3358090446042432
DEBUG:root:loss:4.017129421234131 reconloss:3.5015926361083984 KLD:0.0003594381269067526 actloss:0.21674318611621857 vocabvqloss0.29843419790267944 grad:0.36177626904955373
DEBUG:root:loss:3.7448742389678955 reconloss:3.218682289123535 KLD:0.00035071102320216596 actloss:0.21528592705726624 vocabvqloss0.3105553090572357 grad:0.32985058128595846
DEBUG:root:loss:3.9674010276794434 reconloss:3.5133283138275146 KLD:0.00033209609682671726 actloss:0.21217124164104462 vocabvqloss0.24156920611858368 grad:0.39561937599885444
DEBUG:root:loss:3.8189189434051514 reconloss:3.3540961742401123 KLD:0.00042248459067195654 actloss:0.21694840490818024 vocabvqloss0.24745167791843414 grad:0.38831320708129435
DEBUG:root:loss:3.380831480026245 reconloss:2.9392194747924805 KLD:0.0003641414223238826 actloss:0.21721118688583374 vocabvqloss0.22403664886951447 grad:0.39190279965189617
DEBUG:root:loss:3.6421093940734863 reconloss:3.1713624000549316 KLD:0.0003799386031460017 actloss:0.21303790807724 vocabvqloss0.2573291063308716 grad:0.35077814071127345
DEBUG:root:loss:3.8531670570373535 reconloss:3.3404417037963867 KLD:0.00040595533209852874 actloss:0.21188664436340332 vocabvqloss0.30043259263038635 grad:0.3974508523874868
DEBUG:root:loss:3.852602958679199 reconloss:3.353883981704712 KLD:0.0004331029485911131 actloss:0.21645838022232056 vocabvqloss0.2818273603916168 grad:0.44831727355735995
DEBUG:root:loss:3.78118896484375 reconloss:3.307469367980957 KLD:0.0003583088982850313 actloss:0.21460404992103577 vocabvqloss0.2587571144104004 grad:0.490601211156488
DEBUG:root:loss:3.842118978500366 reconloss:3.3836042881011963 KLD:0.00040074888966046274 actloss:0.21900822222232819 vocabvqloss0.23910562694072723 grad:0.4007478287705901
DEBUG:root:loss:4.070455074310303 reconloss:3.634700059890747 KLD:0.0004280777939129621 actloss:0.216474249958992 vocabvqloss0.21885277330875397 grad:0.4168888668407378
DEBUG:root:loss:3.7522614002227783 reconloss:3.2608802318573 KLD:0.0005412642494775355 actloss:0.2155516892671585 vocabvqloss0.2752884030342102 grad:0.40846669112147477
DEBUG:root:loss:3.6191790103912354 reconloss:3.139479160308838 KLD:0.000692957837600261 actloss:0.21625147759914398 vocabvqloss0.26275569200515747 grad:0.4726328463350293
DEBUG:root:loss:3.6074411869049072 reconloss:3.1300289630889893 KLD:0.000595102203078568 actloss:0.21501439809799194 vocabvqloss0.26180264353752136 grad:0.47425680151338884
DEBUG:root:loss:3.6339774131774902 reconloss:3.1801836490631104 KLD:0.0006054253317415714 actloss:0.21629732847213745 vocabvqloss0.23689109086990356 grad:0.49839315071342166
DEBUG:root:loss:3.423848867416382 reconloss:2.925045967102051 KLD:0.0005646903300657868 actloss:0.2162114977836609 vocabvqloss0.28202682733535767 grad:0.3698021838346908
DEBUG:root:loss:3.891864538192749 reconloss:3.413478136062622 KLD:0.0005534805241040885 actloss:0.21361131966114044 vocabvqloss0.264221727848053 grad:0.4025623741928426
DEBUG:root:loss:3.611621618270874 reconloss:3.1207380294799805 KLD:0.0005518815596587956 actloss:0.22314009070396423 vocabvqloss0.2671915888786316 grad:0.5457355067864281
DEBUG:root:loss:3.558858633041382 reconloss:3.1337218284606934 KLD:0.0005609015934169292 actloss:0.21717840433120728 vocabvqloss0.2073974758386612 grad:0.4564470807891151
DEBUG:root:loss:3.94940447807312 reconloss:3.532625675201416 KLD:0.0005430619930848479 actloss:0.21868152916431427 vocabvqloss0.1975541114807129 grad:0.42915403130100244
DEBUG:root:loss:3.7625393867492676 reconloss:3.300725221633911 KLD:0.0004773898981511593 actloss:0.216798335313797 vocabvqloss0.24453851580619812 grad:0.6164800898247987
DEBUG:root:loss:3.738037109375 reconloss:3.2745089530944824 KLD:0.0005263657658360898 actloss:0.2152003049850464 vocabvqloss0.2478015273809433 grad:0.45688726922293427
DEBUG:root:loss:3.539569139480591 reconloss:3.0900542736053467 KLD:0.0006102468469180167 actloss:0.21398574113845825 vocabvqloss0.23491887748241425 grad:0.35977432613212507
DEBUG:root:loss:3.748363733291626 reconloss:3.3023245334625244 KLD:0.0007334835245274007 actloss:0.21430373191833496 vocabvqloss0.23100221157073975 grad:0.5509269429258251
DEBUG:root:loss:3.39884352684021 reconloss:2.9334800243377686 KLD:0.0007723391754552722 actloss:0.21447508037090302 vocabvqloss0.25011613965034485 grad:0.4614388091248885
DEBUG:root:loss:3.729098081588745 reconloss:3.2517998218536377 KLD:0.0008610775112174451 actloss:0.217935711145401 vocabvqloss0.25850141048431396 grad:0.3622482275340131
