id,slot_value,personality,ground_truth,FVN without Control,FVN
18,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . nameVariable is darn near nearVariable cheap in city centre , a japanese place and family friendly and it has like , a excellent rating , also it is a pub .","oh god i do n't know . nameVariable is a japanese place in city centre , cheap near nearVariable and kid friendly with a excellent rating , also it is a pub !",
19,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is cheap , a japanese place near nearVariable in city centre and kid friendly , it has a excellent rating pal and nameVariable is a pub , you know !","i nameVariable is a japanese place , city centre , cheap and family friendly near nearVariable , it is a pub , also it has a excellent rating , you know !",
20,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . oh right it is an italian restaurant near nearVariable , family friendly and rather moderately priced in city centre and it is a pub , okay ?","you want to know more about nameVariable ? right , it is a pub , also it is an italian restaurant , city centre , nearVariable , rather moderately priced and family friendly , you know , alright ?",
21,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is near nearVariable , also it is an italian restaurant . it 's a pub , also it is in city centre , and it is damn moderately priced . it is kid friendly .","nameVariable is damn moderately priced , also it 's an italian place . it is a pub . it is in city centre . it is near nearVariable . it is a pub .",
22,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see , i guess it is a pub and it is moderately priced , near nearVariable kid friendly in city centre and an italian restaurant .","let 's see what we can find on nameVariable . well , i see it is an italian restaurant in city centre , moderately priced near nearVariable and kid friendly and it is a pub .",
23,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh yeah , i am not sure . nameVariable is moderately priced near nearVariable , an italian place and damn kid friendly in city centre , also it is a pub .","oh god i do n't know . nameVariable is a pub , also it is darn moderately priced , city centre , an italian place and kid friendly near nearVariable .",
24,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a pub , also nameVariable is in city centre , and nameVariable is an italian place , moderately priced near nearVariable and kid friendly .","i see , nameVariable is a pub , it is moderately priced , city centre , it is an italian place , it is near nearVariable and it is kid friendly , you know !",
25,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? right , nameVariable is a pub , also it is rather kid friendly and an italian restaurant near nearVariable in city centre , you know , alright ?","let 's see what we can find on nameVariable . well , i see , i suppose it is an italian restaurant in city centre and nearVariable and family friendly , also it is a pub , you see ?",
26,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is an italian place in city centre , it is damn family friendly and it 's a pub . it is near nearVariable .","nameVariable is an italian place , also it is damn kid friendly . it is a pub . it is in city centre . it is near nearVariable .",
27,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... i see , well it is a pub , also it is kid friendly sort of in city centre , and it is an italian restaurant near nearVariable .","let 's see what we can find on nameVariable . well , i see it is an italian restaurant near nearVariable and city centre and kid friendly and it is a pub .",
28,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , oh god i am not sure . nameVariable is a pub and nameVariable is kid friendly in city centre and an italian place near nearVariable , i mean .","oh god i do n't know . nameVariable is an italian place in city centre and nearVariable and damn friendly , also it is a pub !",
29,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is family friendly in city centre . nameVariable is an italian place near nearVariable , you know buddy and it is a pub .","nameVariable is an italian place in city centre near nearVariable and family friendly , also it is a pub , you know !",
30,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? i see , well nameVariable is quite family friendly , a chinese place and moderately priced near nearVariable and it is in riverside , also it is a restaurant , okay ?","let 's see what we can find on nameVariable . well , it is a chinese restaurant , rather moderately priced in riverside and family friendly near nearVariable and it is a pub , you see ?",
31,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is a chinese place and damn kid friendly . it is a restaurant . it is near nearVariable , also it is moderately priced in riverside .","basically , i mean , i thought everybody knew that nameVariable is a chinese place , also it is moderately priced . it is in riverside . it is near nearVariable . it is a pub . it is kid friendly .",
32,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... well , i see it is moderately priced , family friendly in riverside and a chinese restaurant near nearVariable and it is a restaurant .","let 's see what we can find on nameVariable . well , i see it is a chinese restaurant in riverside , moderately priced near nearVariable and kid friendly and it is a pub .",
33,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i do n't know . nameVariable is a restaurant , also it is damn near nearVariable moderately priced in riverside , kid friendly and a chinese place !","oh god i do n't know . nameVariable is a chinese place , damn moderately priced in riverside and kid friendly near nearVariable and it is a pub .",
34,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""priceRange"": ""moderate"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is in riverside and it is near nearVariable , also it is a restaurant , you know . nameVariable is family friendly , a chinese place and moderately priced mate .","nameVariable is a chinese place , moderately priced in riverside and family friendly near nearVariable and it is a pub , you know !",
35,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... well , yeah it is near nearVariable with a excellent rating , also it is a pub , buddy , alright ?","let 's see what we can find on nameVariable . oh , it is a restaurant with a excellent rating , also it is kind of near nearVariable , you know , alright ?",
36,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is a pub , also it has like , a excellent rating . it is near nearVariable . oh god i mean .",nameVariable is a nearVariable with a damn excellent rating . it is a restaurant .,
37,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",conscientiousness,"let 's see what we can find on nameVariable . well , it is a pub with a excellent rating and it is sort of near nearVariable .","let 's see what we can find on nameVariable . i see , well it is sort of near nearVariable with a excellent rating , also it is a restaurant .",
38,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",unconscientiousness,"oh god yeah , i am not sure . i mean nameVariable is a pub with a excellent rating , also it is near nearVariable .","oh gosh i do n't know . nameVariable is a pub with a damn excellent rating , also it is kind of near nearVariable .",
39,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""customerRating"": ""excellent"", ""near"": ""nearVariable""}",extravert,"nameVariable is near nearVariable with a excellent rating , also nameVariable is a pub .","nameVariable is a nearVariable , it is a excellent rating and it is a pub , you know pal !",
40,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""low"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? ok , it is a restaurant with a quite low rating , also it is near nearVariable , and it is n't somewhat family friendly , you see ?","let 's see what we can find on nameVariable . well , it is a restaurant with a low rating , also it is n't somewhat family friendly , and it 's sort of near nearVariable , alright ?",
41,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""low"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,nameVariable is n't kid friendly with a damn low rating . it is near nearVariable . it is a restaurant .,"nameVariable is n't kid friendly , also it 's near nearVariable . it is a restaurant . it has like , a low rating .",
42,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""low"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , it is n't family friendly with a low rating , also it 's sort of near nearVariable , and it is a restaurant .","let 's see what we can find on nameVariable . well , i see it is sort of near nearVariable with a low rating , also it is a restaurant , and it is n't kid friendly .",
43,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""low"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh i mean , i do n't know . nameVariable is near nearVariable with a low rating and it is a restaurant , also it is n't family friendly !","oh god i do n't know . nameVariable is a restaurant , also it is n't kid friendly , also it has like , a low rating , and it is kind of near nearVariable .",
44,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""customerRating"": ""low"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable has a low rating , it is n't kid friendly , you know buddy , it 's near nearVariable and it is a restaurant !","nameVariable is a restaurant , it is n't kid friendly , it 's near nearVariable and it has a low rating , you know pal !",
45,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"did you say nameVariable ? oh it is n't kid friendly with a quite decent rating , it is an italian restaurant and it is somewhat near nearVariable moderately priced in riverside , also it is a pub , alright ?","let 's see what we can find on nameVariable . right , it is a pub with a decent rating , also it is an italian restaurant in riverside near nearVariable and moderately priced , also it is n't somewhat family friendly , you know , alright ?",
46,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is in riverside , it is near nearVariable , also it is moderately priced , and the rating is decent , also it is n't damn kid friendly . it is a pub . it is an italian restaurant , basically .",nameVariable is moderately priced with a decent rating . it is a italian place . it is in riverside . it is near nearVariable . it is a pub . it is n't kid friendly .,
47,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"let 's see what we can find on nameVariable . i see , it is a pub with a decent rating and nameVariable is an italian restaurant in riverside near nearVariable and moderately priced , also it is n't family friendly .","let 's see what we can find on nameVariable . well , i see it is n't family friendly with a decent rating , it is an italian restaurant in riverside and moderately priced near nearVariable and it is a pub .",
48,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"i am not sure . nameVariable is n't damn family friendly , also it 's a pub , it is near nearVariable in riverside , nameVariable is darn moderately priced and an italian place and it has like , a decent rating .","oh gosh i do n't know . nameVariable is a pub with a decent rating , also it is an italian place in riverside , also it is damn moderately priced near nearVariable , also it is n't kid friendly !",
49,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Italian"", ""priceRange"": ""moderate"", ""customerRating"": ""decent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"right , nameVariable is moderately priced and an italian place in riverside , nameVariable is n't family friendly , also it 's near nearVariable , also it is a pub , and it has a decent rating pal !","nameVariable is a pub , it is moderately priced , it , it is n't family friendly , it 's an italian place in riverside , it is a decent rating and it is moderately priced near nearVariable !",
50,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... it is near nearVariable , also it is in city centre , also it is a chinese restaurant , also it is rather kid friendly . well , i see , it is a restaurant , you see ?","let 's see what we can find on nameVariable . well , it is a chinese restaurant in city centre and nearVariable and rather kid friendly , also it is a pub , you know , alright ?",
51,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"moderately priced come on , actually , nameVariable is it 's damn family friendly , this place is in city centre and it is a chinese place , also it is a restaurant , also it is near nearVariable .","moderately priced nameVariable is it is a chinese restaurant , also it is damn kid friendly . it 's a pub . it 's near nearVariable . it 's in city centre.. obviously , basically .",
52,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... i see , it is kid friendly and a chinese place in city centre near nearVariable and it is a restaurant .","let 's see what we can find on nameVariable . well , i see it is a chinese restaurant in city centre and nearVariable and kid friendly and it is a pub .",
53,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"yeah , i am not sure . nameVariable is a restaurant , it is a chinese place in city centre and it is damn family friendly kind of near nearVariable .","oh god yeah , i do n't know . nameVariable is a chinese place in city centre and nearVariable and kid friendly , also it is a pub !",
54,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Chinese"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a restaurant pal , it is kid friendly , also it 's near nearVariable , you know , it is in city centre and nameVariable is a chinese place !","nameVariable is a chinese place in city centre near nearVariable and kid friendly , also it is a pub , you know friend !",
55,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""20-25"", ""customerRating"": ""decent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... well , right , it is a japanese place in city centre and kid friendly near nearVariable with a decent rating with a price range of around £20-25 , also it is a pub , you see ?","you want to know more about nameVariable ? right , it is a japanese restaurant in city centre near nearVariable and kid friendly with a price range of £20-25 , it is a pub , also it has a decent rating , you know , alright ?",
56,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""20-25"", ""customerRating"": ""decent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"basically , everybody knows that nameVariable is family friendly , it 's in city centre , also it has like , a decent rating , and it is near nearVariable . it is a japanese place . it is a pub . it has a price range of £20-25 .","oh god i mean , i thought everybody knew that nameVariable is a japanese place with a price range of £20-25 . it is a city centre . it is a friendly . it is a nearVariable . it is a decent rating . it is a pub .",
57,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""20-25"", ""customerRating"": ""decent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,oh god i see nameVariable is near nearVariable kid friendly in city centre and a japanese restaurant . it has a decent rating with a price range of £20-25 and it is a pub .,you want to know more about nameVariable ? it is a japanese restaurant in city centre near nearVariable and kid friendly with a decent rating with a price range of £20-25 and it is a pub .,
58,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""20-25"", ""customerRating"": ""decent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh god oh gosh i do n't know . nameVariable is a japanese place near nearVariable in city centre . it is a pub , it has a price range of £20-25 , it has like , a decent rating , and it is kid friendly .","oh god i do n't know . nameVariable is a japanese place in city centre near nearVariable and kid friendly with a decent rating , also it is a pub , also it has a price range of £20-25 !",
59,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""20-25"", ""customerRating"": ""decent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable has a price range of £20-25 , nameVariable is in city centre mate , it has a decent rating , you know , it is family friendly , also it 's a pub , and it is a japanese place near nearVariable !","nameVariable is a japanese place in city centre near nearVariable and kid friendly , it has a price range of £20-25 , it is a pub , you know and it has a decent rating pal !",
60,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""Italian"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? yeah it is a restaurant with a excellent rating , also it is somewhat cheap near nearVariable , kid friendly in riverside and an italian restaurant , you know , okay ?","let 's see , nameVariable ... find on nameVariable . well , it is a pub with a excellent rating , also it is an italian restaurant in riverside , nearVariable , and it is cheap and family friendly , you know , alright ?",
